from,to,weight,season
mainz,1,50,2021
hannover,2,40,2020
truiden,3,17,2020
arsenal,5,8,2020
chelsea,6,4,2020
paris,7,1,2019
monaco,8,18,2021
moedling,9,18,2019
wolfsburg,10,1,2018
augsburg,11,5,2018
parisfc,14,80,2019
freiburg,15,13,2020
kiel,16,8,2019
wolfsburg,17,1,2021
lissabon,18,5,2022
boldklub,19,45,2021
sandhausen,20,30,2019
paderborn,22,25,2021
anderlecht,23,18,2017
zagreb,24,60,2018
vfb,25,1,2020
koeln,28,1,2019
bielefeld,30,25,2018
cordoba,31,17,2019
turin,32,15,2021
nuernberg,33,3,2019
istanbul,34,1,2021
iwata,37,1,2021
vfb,42,1,2021
vfb,44,1,2021
vfb,50,1,2022
1,Deutschland,1,
2,Deutschland,1,
3,Japan,1,
5,England,1,
6,England,1,
7,Frankreich,1,
8,Frankreich,1,
9,Oesterreich,1,
10,Deutschland,1,
11,Deutschland,1,
14,DRKongo,1,
15,Deutschland,1,
16,Deutschland,1,
17,Aegypten,1,
18,Portugal,1,
19,Daenemark,1,
20,Deutschland,1,
22,Deutschland,1,
23,Belgien,1,
24,Kroatien,1,
25,Deutschland,1,
28,Daenemark,1,
30,Deutschland,1,
31,Deutschland,1,
32,Frankreich,1,
33,Deutschland,1,
34,Tuerkei,1,
37,Japan,1,
42,Deutschland,1,
44,Niederlande,1,
50,Frankreich,1,
